fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana		min_data_in_leaf	num_leaves		min_data_in_leaf	num_leaves
20221113 095002	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	520	1	1	1	0.1	50	0.5	FALSE	936659	0.066936886	0.509326654	0.884296989	5.932518035	0.016653993	14291	17978000	101						
20221112 093335	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1164	1	1	1	0.1	50	0.5	FALSE	936659	0.035058185	0.899864198	0.523644817	7.111223856	0.01331089	13893	17974000	33						
20221112 100657	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1678	1	1	1	0.1	50	0.5	FALSE	936659	0.005181881	0.654915347	0.618229047	9.149686796	0.01646011	13462	17956000	34						
20221112 152402	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8416	1	1	1	0.1	50	0.5	FALSE	936659	0.005934684	0.56576881	0.273419596	5.021239477	0.02061064	13954	17932000	47						
20221112 220944	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2327	1	1	1	0.1	50	0.5	FALSE	936659	0.024194417	0.822505581	0.894315521	3.255167156	0.022334883	13995	17930000	67						
20221112 161727	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	645	1	1	1	0.1	50	0.5	FALSE	936659	0.088115193	0.54714467	0.770550263	5.346767721	0.017884983	14036	17928000	53						
20221113 105711	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	5026	1	1	1	0.1	50	0.5	FALSE	936659	0.005055942	0.840472777	0.360576857	7.393104551	0.016128121	14491	17898000	108						
20221113 092603	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	135	1	1	1	0.1	50	0.5	FALSE	936659	0.052903015	0.872830003	0.970127653	9.590818945	0.016459524	13576	17888000	98						
20221113 070241	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2299	1	1	1	0.1	50	0.5	FALSE	936659	0.005285189	0.889247823	0.818369707	8.484126789	0.014347568	13892	17816000	92						
20221112 090537	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	378	1	1	1	0.1	50	0.5	FALSE	936659	0.129986976	0.636042142	0.78128002	5.242359718	0.016514362	14919	17762000	30						
20221112 155734	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	894	1	1	1	0.1	50	0.5	FALSE	936659	0.037428478	0.586414164	0.598410966	5.249212083	0.01795863	14847	17746000	50						
20221112 045232	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	866	1	1	1	0.1	50	0.5	FALSE	936659	0.021373193	0.732519521	0.936549671	8.0464894	0.011711821	14253	17734000	19						
20221113 085055	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2346	1	1	1	0.1	50	0.5	FALSE	936659	0.009523941	0.787847468	0.84061761	5.867657291	0.016887943	15151	17698000	96						
20221112 025631	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	208	1	1	1	0.1	50	0.5	FALSE	936659	0.084232612	0.487330184	0.225231729	9.535969855	0.013099518	13145	17550000	9						
20221112 194927	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3056	1	1	1	0.1	50	0.5	FALSE	936659	0.005695213	0.742594125	0.207407278	8.675813785	0.015757791	14437	17446000	58						
20221113 100816	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	161	1	1	1	0.1	50	0.5	FALSE	936659	0.129629418	0.686617381	0.999328075	6.219578519	0.017346299	14706	17388000	106						
20221113 101104	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	94	1	1	1	0.1	50	0.5	FALSE	936659	0.241248231	0.884402243	0.965806599	6.221574563	0.017424023	14392	17376000	107						
20221113 033441	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	6254	1	1	1	0.1	50	0.5	FALSE	936659	0.006055333	0.68801344	0.421321975	5.333133241	0.016849698	15565	17350000	86						
20221113 123325	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	110	1	1	1	0.1	50	0.5	FALSE	936659	0.274135491	0.605293277	0.362416933	5.728421142	0.017736874	14214	17332000	116						
20221112 232919	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	523	1	1	1	0.1	50	0.5	FALSE	936659	0.023635723	0.600792483	0.187135227	8.687983129	0.017296878	14504	17312000	73						
20221112 021045	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	195	1	1	1	0.1	50	0.5	FALSE	936659	0.20516906	0.703355597	0.295522337	7.099845891	0.014809211	14661	17238000	5						
20221112 013836	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	354	1	1	1	0.1	50	0.5	FALSE	936659	0.121582368	0.587574808	0.574299034	6.217542629	0.014602449	15028	17224000	3						
20221113 110217	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	333	1	1	1	0.1	50	0.5	FALSE	936659	0.124026486	0.852196025	0.994824143	6.102624068	0.01344134	15361	17198000	109						
20221112 142014	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1696	1	1	1	0.1	50	0.5	FALSE	936659	0.009134707	0.398551064	0.505732036	9.610445098	0.006886657	14085	17190000	45						
20221113 120509	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	8440	1	1	1	0.1	50	0.5	FALSE	936659	0.006578955	0.609142156	0.914772998	3.607693676	0.01870197	15340	17160000	112						
20221113 100131	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	173	1	1	1	0.1	50	0.5	FALSE	936659	0.085752369	0.888304962	0.90037577	6.340047298	0.017050487	14988	17144000	104						
20221112 081256	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	9776	1	1	1	0.1	50	0.5	FALSE	936659	0.005247832	0.69997057	0.195081432	6.781420249	0.0156903	15326	17108000	24						
20221113 110529	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	122	1	1	1	0.1	50	0.5	FALSE	936659	0.165990615	0.865066601	0.847808126	6.227571139	0.016181036	15161	17038000	110						
20221113 111018	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	42	1	1	1	0.1	50	0.5	FALSE	936659	0.126361671	0.889859864	0.979788179	9.693259182	0.018041617	14168	16944000	111						
20221112 101411	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	254	1	1	1	0.1	50	0.5	FALSE	936659	0.04689789	0.738168782	0.992921135	8.834835426	0.012710253	14055	16930000	35						
20221113 043828	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	259	1	1	1	0.1	50	0.5	FALSE	936659	0.140018222	0.451366027	0.063028819	9.250496482	0.014626774	14509	16902000	89						
20221112 025942	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	166	1	1	1	0.1	50	0.5	FALSE	936659	0.060765689	0.822616403	0.065872226	11.05375382	0.013675945	14955	16890000	10						
20221112 154848	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3738	1	1	1	0.1	50	0.5	FALSE	936659	0.022190522	0.588060841	0.088321492	5.555914466	0.020592016	13810	16860000	49						
20221112 125531	2154	758301	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	346	1	1	1	0.1	50	0.5	FALSE	936659	0.04080082	0.420595668	0.886199787	8.52156953	0.011792211	14903	16754000	43						
