fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221030 024132	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	548	1	1	1	0.1	50	0.5	FALSE	668111	0.250665563410064	0.492338247565366	2041	372	6.59409507087623e-07	13731	17098000	36
20221030 025135	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	891	1	1	1	0.1	50	0.5	FALSE	668111	0.258974661318839	0.614011511433125	7428	1713	5.55846751664544e-05	14272	14576000	37
20221030 025413	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	66	1	1	1	0.1	50	0.5	FALSE	668111	0.217120380654099	0.207381796109118	27	513	0.00061323689187212	22065	-450000	38
20221030 025930	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	372	1	1	1	0.1	50	0.5	FALSE	668111	0.283951460809775	0.232704294013081	7817	1342	0.00250571821592487	14776	14608000	39
20221030 031854	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1721	1	1	1	0.1	50	0.5	FALSE	668111	0.0303747713450174	0.278757359169749	7854	1412	0.0108633716158212	13299	19642000	40
20221030 032757	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	827	1	1	1	0.1	50	0.5	FALSE	668111	0.0516821922368211	0.996980804670077	7842	1329	0.00820986753980236	16255	16130000	41
20221030 034316	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1106	1	1	1	0.1	50	0.5	FALSE	668111	0.0860407541630906	0.283791193204001	1823	1722	5.69420471087441e-06	14745	17310000	42
20221030 034800	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	290	1	1	1	0.1	50	0.5	FALSE	668111	0.238719882791258	0.964209090174921	5545	206	0.0015180338958277	13946	17068000	43
20221030 035701	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	657	1	1	1	0.1	50	0.5	FALSE	668111	0.0901587114083068	0.939032229480892	3977	1740	0.00112734311695854	14014	18372000	44
20221030 040518	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	655	1	1	1	0.1	50	0.5	FALSE	668111	0.104624495651295	0.617082366149686	5806	1263	0.00209332997551341	14733	16694000	45
20221030 141121	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3851	1	1	1	0.1	50	0.5	FALSE	668111	0.00595368810504965	0.279802756567626	5328	1325	0.014922435893542	14413	19334000	46
20221030 141935	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	655	1	1	1	0.1	50	0.5	FALSE	668111	0.104624495651295	0.617082366149686	5806	1263	0.00209332997601618	14733	16694000	47
20221030 143242	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	723	1	1	1	0.1	50	0.5	FALSE	668111	0.177267883109881	0.549210814912803	4156	2030	4.77211743177961e-05	14357	16086000	48
20221030 144336	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1088	1	1	1	0.1	50	0.5	FALSE	668111	0.0868320317933041	0.209940829452152	7807	1494	0.00432913408571568	13521	17838000	49
20221030 145616	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	809	1	1	1	0.1	50	0.5	FALSE	668111	0.0584665054463147	0.437523938057362	7806	1348	0.00920855826111785	15081	16798000	50
20221030 151541	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1145	1	1	1	0.1	50	0.5	FALSE	668111	0.128044081180771	0.554682852477767	3336	356	6.32966801053049e-06	13442	17436000	51
20221030 151930	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	121	1	1	1	0.1	50	0.5	FALSE	668111	0.24763931525913	0.25885915485844	337	1200	8.79359403526732e-06	15741	13478000	52
20221030 153331	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1106	1	1	1	0.1	50	0.5	FALSE	668111	0.243499181319299	0.330750052900799	47	2038	1.04369159607956e-07	11135	16210000	53
20221030 161457	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2875	1	1	1	0.1	50	0.5	FALSE	668111	0.0195576531168655	0.796963320091925	1128	946	7.50311257119787e-06	15502	17316000	54
20221030 162413	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	636	1	1	1	0.1	50	0.5	FALSE	668111	0.155426802676327	0.9617199795397	2383	1597	9.22131034474551e-06	12772	18216000	55
20221030 163241	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	427	1	1	1	0.1	50	0.5	FALSE	668111	0.157771431583667	0.512114546411112	6143	1554	0.00535191356335328	11376	18848000	56
20221030 163724	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	181	1	1	1	0.1	50	0.5	FALSE	668111	0.280573912789945	0.427881349813193	7924	1332	0.00786640043596871	15850	14940000	57
20221030 164425	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	347	1	1	1	0.1	50	0.5	FALSE	668111	0.226772131089503	0.468258089971729	6314	1190	0.00202614936148898	15172	14456000	58
20221030 164945	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	316	1	1	1	0.1	50	0.5	FALSE	668111	0.0767402542601689	0.759950740190223	4075	1003	0.0117146586445755	13126	19188000	59
20221030 170125	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	567	1	1	1	0.1	50	0.5	FALSE	668111	0.0391469397011027	0.555519534340501	5389	1106	0.0154950798546507	13766	20068000	60
20221030 171153	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	742	1	1	1	0.1	50	0.5	FALSE	668111	0.244595234002547	0.33572338885162	4081	616	5.37133949694026e-06	15080	15040000	61
20221030 173016	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1419	1	1	1	0.1	50	0.5	FALSE	668111	0.0350941682943725	0.61940393590033	2609	1062	0.000784142138511909	13032	19936000	62
20221030 173814	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	397	1	1	1	0.1	50	0.5	FALSE	668111	0.271661192310095	0.467806329669058	4120	431	0.000116183364158228	14799	16642000	63
20221030 174458	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	503	1	1	1	0.1	50	0.5	FALSE	668111	0.224765758845077	0.273317934057303	7159	859	0.00134361979371758	14812	14856000	64
20221030 180241	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1319	1	1	1	0.1	50	0.5	FALSE	668111	0.104759510488545	0.409254523208179	7461	1962	0.00093398482756401	12629	18102000	65
20221030 181014	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	619	1	1	1	0.1	50	0.5	FALSE	668111	0.14116195548338	0.742369297420979	169	364	9.57639251725564e-07	12855	17650000	66
20221030 181703	978	807067	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	300	1	1	1	0.1	50	0.5	FALSE	668111	0.0321474625350721	0.831071689856984	2052	1153	0.0173762349118405	13200	19280000	67
